Address, Total Score, Sub-Scores, URL
ulice Pernerova, Praha 8 - èást obce Karlín, 130, [75.95555555555555, 54.0], https://www.sreality.cz/detail/prodej/byt/3+1/praha-cast-obce-karlin-ulice-pernerova/185314908
ulice Choceradská, Praha 4 - èást obce Zábìhlice, 115, [60.044444444444444, 54.782666666666664], https://www.sreality.cz/detail/prodej/byt/3+kk/praha-cast-obce-zabehlice-ulice-choceradska/2872918364
ulice Vratislavská, Praha 8 - èást obce Bohnice, 114, [53.236111111111114, 60.494], https://www.sreality.cz/detail/prodej/byt/3+1/praha-cast-obce-bohnice-ulice-vratislavska/2619911772
ulice K lipám, Praha 9 - èást obce Støížkov, 113, [54.30555555555556, 58.55866666666667], https://www.sreality.cz/detail/prodej/byt/3+1/praha-cast-obce-strizkov-ulice-k-lipam/2888347228
ulice Primátorská, Praha 8 - èást obce Libeò, 105, [65.75277777777777, 38.956], https://www.sreality.cz/detail/prodej/byt/3+kk/praha-cast-obce-liben-ulice-primatorska/469089884
ulice Nad zámeèkem, Praha 5 - èást obce Košíøe, 91, [56.47222222222222, 34.186], https://www.sreality.cz/detail/prodej/byt/3+1/praha-cast-obce-kosire-ulice-nad-zameckem/469254492
ulice K náhonu, Praha - èást obce Hloubìtín, 88, [51.352777777777774, 37.11333333333334], https://www.sreality.cz/detail/prodej/byt/3+kk/praha-cast-obce-hloubetin-ulice-k-nahonu/244035164
ulice Svídnická, Praha 8 - èást obce Troja, 88, [28.380555555555556, 59.91], https://www.sreality.cz/detail/prodej/byt/3+1/praha-cast-obce-troja-ulice-svidnicka/4177772124
ulice Nepomuckých, Praha 9 - èást obce Letòany, 84, [34.74722222222222, 48.791333333333334], https://www.sreality.cz/detail/prodej/byt/3+kk/praha-cast-obce-letnany-ulice-nepomuckych/2778775132
ulice Radimova, Praha 6 - èást obce Bøevnov, 61, [49.80555555555556, 11.111333333333333], https://www.sreality.cz/detail/prodej/byt/3+1/praha-cast-obce-brevnov-ulice-radimova/4136943196
